time               ,W      ,usage_c0             ,usage_c1             ,usage_c2             ,usage_c3             ,usage_c4           ,usage_c5           ,usage_c6           ,usage_c7           ,temp4 ,temp5 ,temp6 ,temp7
1676068076.7633464 , 9.222 ,0.381                ,0.048                ,0.0                  ,0.0                  ,0.95               ,0.95               ,1.0                ,0.95               , 65.0 , 69.0 , 72.0 , 61.0 ,
1676068076.9644055 , 9.256 ,0.222                ,0.158                ,0.0                  ,0.0                  ,0.9                ,0.8420000000000001 ,0.9                ,0.9470000000000001 , 65.0 , 70.0 , 73.0 , 61.0 ,
1676068077.1657395 , 9.256 ,0.055999999999999994 ,0.14300000000000002  ,0.095                ,0.182                ,0.619              ,0.65               ,0.762              ,0.7                , 63.0 , 68.0 , 70.0 , 60.0 ,
1676068077.3668365 , 9.256 ,0.05                 ,0.053                ,0.0                  ,0.0                  ,0.95               ,0.95               ,1.0                ,0.95               , 65.0 , 70.0 , 73.0 , 61.0 ,
1676068077.5673964 , 9.256 ,0.17600000000000002  ,0.158                ,0.1                  ,0.095                ,0.778              ,0.737              ,0.773              ,0.789              , 62.0 , 66.0 , 68.0 , 59.0 ,
1676068077.7678497 , 9.256 ,0.2                  ,0.05                 ,0.05                 ,0.0                  ,0.85               ,0.9                ,0.8                ,0.81               , 63.0 , 69.0 , 71.0 , 60.0 ,
1676068077.9682734 , 9.821 ,0.222                ,0.053                ,0.0                  ,0.0                  ,0.95               ,0.95               ,1.0                ,1.0                , 66.0 , 71.0 , 73.0 , 62.0 ,
1676068078.168717  , 9.821 ,0.15                 ,0.0                  ,0.0                  ,0.048                ,0.75               ,0.667              ,0.591              ,0.6                , 63.0 , 67.0 , 70.0 , 60.0 ,
1676068078.3690705 , 9.821 ,0.0                  ,0.048                ,0.0                  ,0.053                ,0.9520000000000001 ,1.0                ,0.9470000000000001 ,0.95               , 64.0 , 70.0 , 72.0 , 61.0 ,
1676068078.5695267 , 9.821 ,0.25                 ,0.105                ,0.053                ,0.0                  ,0.8420000000000001 ,0.85               ,0.789              ,0.789              , 61.0 , 69.0 , 69.0 , 59.0 ,
1676068078.7699769 , 9.821 ,0.222                ,0.0                  ,0.05                 ,0.095                ,0.7                ,0.81               ,0.75               ,0.7                , 64.0 , 68.0 , 71.0 , 60.0 ,
1676068078.970403  , 8.702 ,0.21100000000000002  ,0.05                 ,0.0                  ,0.0                  ,0.9470000000000001 ,0.9470000000000001 ,1.0                ,0.905              , 65.0 , 70.0 , 73.0 , 61.0 ,
1676068079.1708705 , 8.702 ,0.16699999999999998  ,0.05                 ,0.14300000000000002  ,0.0                  ,0.667              ,0.632              ,0.682              ,0.632              , 61.0 , 65.0 , 68.0 , 58.0 ,
1676068079.3720949 , 8.702 ,0.22699999999999998  ,0.0                  ,0.048                ,0.048                ,1.0                ,0.95               ,0.95               ,0.905              , 65.0 , 69.0 , 72.0 , 61.0 ,
1676068079.5734477 , 8.702 ,0.222                ,0.053                ,0.0                  ,0.0                  ,1.0                ,0.95               ,1.0                ,0.95               , 66.0 , 69.0 , 70.0 , 59.0 ,
1676068079.7746558 , 8.702 ,0.619                ,0.25                 ,0.053                ,0.14300000000000002  ,0.765              ,0.579              ,0.579              ,0.579              , 65.0 , 68.0 , 70.0 , 60.0 ,
